logFC,ensid
ENSG00000138166,0.727786099,ENSG00000138166
ENSG00000026036,-1.036127753,ENSG00000026036
ENSG00000198898,0.654957167,ENSG00000198898
ENSG00000139112,1.08946572,ENSG00000139112
ENSG00000145675,-0.731637299,ENSG00000145675
ENSG00000116717,0.826387229,ENSG00000116717
ENSG00000156804,0.698643114,ENSG00000156804
ENSG00000125810,-2.13319331,ENSG00000125810
ENSG00000196730,1.036381739,ENSG00000196730
ENSG00000106809,5.117483581,ENSG00000106809
ENSG00000242147,1.236359519,ENSG00000242147
ENSG00000277639,1.709089992,ENSG00000277639
ENSG00000028277,1.162714881,ENSG00000028277
ENSG00000134222,-0.575864173,ENSG00000134222
ENSG00000261054,5.234632398,ENSG00000261054
ENSG00000157873,0.83870649,ENSG00000157873
ENSG00000177943,0.925827179,ENSG00000177943
ENSG00000128408,-1.061168267,ENSG00000128408
ENSG00000091527,-0.811817024,ENSG00000091527
ENSG00000102032,2.248918276,ENSG00000102032
ENSG00000171219,2.996777297,ENSG00000171219
ENSG00000140691,0.858844238,ENSG00000140691
ENSG00000213024,-0.577823018,ENSG00000213024
ENSG00000163739,0.762881602,ENSG00000163739
ENSG00000135605,4.99088648,ENSG00000135605
ENSG00000105193,0.70972707,ENSG00000105193
ENSG00000106588,0.713955069,ENSG00000106588
ENSG00000240356,0.946825434,ENSG00000240356
ENSG00000278952,4.986453085,ENSG00000278952
ENSG00000205592,4.987310485,ENSG00000205592
ENSG00000254860,-2.49545949,ENSG00000254860
ENSG00000123700,1.234107815,ENSG00000123700
ENSG00000156411,0.704429423,ENSG00000156411
ENSG00000112182,2.221909313,ENSG00000112182
ENSG00000273155,4.467226432,ENSG00000273155
ENSG00000159307,-2.829702219,ENSG00000159307
ENSG00000238035,-1.088348723,ENSG00000238035
ENSG00000262554,-1.791589487,ENSG00000262554
ENSG00000232938,0.900193629,ENSG00000232938
ENSG00000136114,0.745692497,ENSG00000136114
ENSG00000176463,-0.813103767,ENSG00000176463
ENSG00000128699,-0.926992138,ENSG00000128699
ENSG00000157554,-2.057937948,ENSG00000157554
ENSG00000089486,0.806158456,ENSG00000089486
ENSG00000143878,0.506467224,ENSG00000143878
ENSG00000176641,0.53875029,ENSG00000176641
ENSG00000182093,0.984583276,ENSG00000182093
ENSG00000115904,-0.797824489,ENSG00000115904
ENSG00000282827,-1.938995066,ENSG00000282827
ENSG00000188763,-1.826642089,ENSG00000188763
ENSG00000101447,-0.513042454,ENSG00000101447
ENSG00000137331,0.602042761,ENSG00000137331
ENSG00000167695,-1.262255851,ENSG00000167695
ENSG00000113070,0.779228662,ENSG00000113070
ENSG00000174371,-0.583197725,ENSG00000174371
ENSG00000134086,0.993472914,ENSG00000134086
ENSG00000103426,4.690617611,ENSG00000103426
ENSG00000111254,1.905860578,ENSG00000111254
ENSG00000280046,1.77753452,ENSG00000280046
ENSG00000073282,-1.724349106,ENSG00000073282
ENSG00000243797,-2.21895312,ENSG00000243797
ENSG00000255513,1.917990502,ENSG00000255513
ENSG00000277258,-0.786609131,ENSG00000277258
ENSG00000013573,-0.694972497,ENSG00000013573
ENSG00000130203,-1.76175976,ENSG00000130203
ENSG00000015153,0.697294144,ENSG00000015153
ENSG00000196072,0.859487381,ENSG00000196072
ENSG00000063978,-0.921431494,ENSG00000063978
ENSG00000232645,4.982853247,ENSG00000232645
ENSG00000163463,-0.565262245,ENSG00000163463
ENSG00000143479,0.593357789,ENSG00000143479
ENSG00000267680,-1.108631839,ENSG00000267680
ENSG00000162063,-0.486603478,ENSG00000162063
ENSG00000141219,-0.994781084,ENSG00000141219
ENSG00000131471,2.93288658,ENSG00000131471
ENSG00000228315,-1.341195454,ENSG00000228315
ENSG00000123485,-0.483692563,ENSG00000123485
ENSG00000095752,0.647414502,ENSG00000095752
ENSG00000099725,0.626191784,ENSG00000099725
ENSG00000148773,-0.680333821,ENSG00000148773
ENSG00000143476,-0.527751257,ENSG00000143476
ENSG00000217128,0.515795792,ENSG00000217128
ENSG00000121274,-0.635735224,ENSG00000121274
ENSG00000197980,2.716035981,ENSG00000197980
ENSG00000168209,0.562666523,ENSG00000168209
ENSG00000156011,1.433227203,ENSG00000156011
ENSG00000244349,2.567214406,ENSG00000244349
ENSG00000128805,0.522591602,ENSG00000128805
ENSG00000139926,-0.468360393,ENSG00000139926
