lncRNA,num_chipseq
ENSG00000253190,16
ENSG00000253227,7
ENSG00000253286,17
ENSG00000253351,6
ENSG00000253474,11
ENSG00000253567,6
ENSG00000253603,6
ENSG00000253616,13
ENSG00000253653,5
ENSG00000253669,6
ENSG00000253695,5
ENSG00000253715,6
ENSG00000253716,6
ENSG00000253741,5
ENSG00000253768,6
ENSG00000253784,6
ENSG00000253806,5
ENSG00000253878,11
ENSG00000253949,7
ENSG00000253955,6
ENSG00000253961,14
ENSG00000254057,5
ENSG00000254083,6
ENSG00000254101,9
ENSG00000254123,7
ENSG00000254164,6
ENSG00000254192,5
ENSG00000254266,8
ENSG00000254267,5
ENSG00000254290,5
ENSG00000254333,8
ENSG00000254453,11
ENSG00000254460,6
ENSG00000254467,7
ENSG00000254499,5
ENSG00000254528,5
ENSG00000254531,5
ENSG00000254533,16
ENSG00000254545,5
ENSG00000254561,9
ENSG00000254588,6
ENSG00000254606,16
ENSG00000254625,5
ENSG00000254669,5
ENSG00000254682,6
ENSG00000254690,8
ENSG00000254739,5
ENSG00000254740,8
ENSG00000254744,12
ENSG00000254756,7
ENSG00000254791,6
ENSG00000254844,5
ENSG00000254887,9
ENSG00000254894,5
ENSG00000254934,6
ENSG00000254951,6
ENSG00000254964,12
ENSG00000254968,8
ENSG00000254991,12
ENSG00000255008,8
ENSG00000255026,6
ENSG00000255100,10
ENSG00000255120,5
ENSG00000255173,6
ENSG00000255224,7
ENSG00000255234,6
ENSG00000255250,12
ENSG00000255384,6
ENSG00000255400,9
ENSG00000255404,5
ENSG00000255426,11
ENSG00000255428,5
ENSG00000255446,10
ENSG00000255468,5
ENSG00000255472,9
ENSG00000255484,6
ENSG00000255491,6
ENSG00000255521,8
ENSG00000255568,5
ENSG00000255689,10
ENSG00000255801,5
ENSG00000255808,8
ENSG00000255850,8
ENSG00000255992,5
ENSG00000256073,5
ENSG00000256155,6
ENSG00000256568,6
ENSG00000256690,8
ENSG00000256806,6
ENSG00000256897,17
ENSG00000256915,14
ENSG00000257022,5
ENSG00000257058,6
ENSG00000257084,6
ENSG00000257097,6
ENSG00000257156,6
ENSG00000257256,5
ENSG00000257345,5
ENSG00000257519,9
ENSG00000257621,5
ENSG00000257634,5
ENSG00000257863,15
ENSG00000258177,10
ENSG00000258345,5
ENSG00000258383,8
ENSG00000258412,8
ENSG00000258424,8
ENSG00000258450,5
ENSG00000258457,7
ENSG00000258502,9
ENSG00000258535,5
ENSG00000258561,11
ENSG00000258602,12
ENSG00000258616,7
ENSG00000258620,8
ENSG00000258623,8
ENSG00000258655,6
ENSG00000258730,5
ENSG00000258751,5
ENSG00000258808,12
ENSG00000258843,7
ENSG00000258853,13
ENSG00000258892,8
ENSG00000258897,7
ENSG00000258922,15
ENSG00000258935,5
ENSG00000258938,7
ENSG00000258942,10
ENSG00000258945,7
ENSG00000258976,6
ENSG00000259002,5
ENSG00000259058,7
ENSG00000259062,12
ENSG00000259178,9
ENSG00000259198,7
ENSG00000259202,6
ENSG00000259211,8
ENSG00000259219,12
ENSG00000259255,5
ENSG00000259274,9
ENSG00000259320,6
ENSG00000259330,7
ENSG00000259349,10
ENSG00000259402,7
ENSG00000259416,7
ENSG00000259418,5
ENSG00000259442,10
ENSG00000259459,6
ENSG00000259541,5
ENSG00000259543,7
ENSG00000259555,7
ENSG00000259579,5
ENSG00000259621,10
ENSG00000259673,5
ENSG00000259692,9
ENSG00000259713,8
ENSG00000259720,6
ENSG00000259727,10
ENSG00000259737,8
ENSG00000259772,5
ENSG00000259773,5
ENSG00000259799,11
ENSG00000259814,5
ENSG00000259895,5
ENSG00000259926,7
ENSG00000259932,5
ENSG00000259945,5
ENSG00000259953,7
ENSG00000259967,7
ENSG00000260000,12
ENSG00000260008,5
ENSG00000260035,5
ENSG00000260063,7
ENSG00000260102,10
ENSG00000260179,10
ENSG00000260193,17
ENSG00000260196,10
ENSG00000260274,6
ENSG00000260293,5
ENSG00000260302,6
ENSG00000260303,14
ENSG00000260328,6
ENSG00000260329,8
ENSG00000260369,6
ENSG00000260392,8
ENSG00000260394,6
ENSG00000260401,13
ENSG00000260455,6
ENSG00000260464,5
ENSG00000260476,5
ENSG00000260541,8
ENSG00000260563,5
ENSG00000260601,11
ENSG00000260633,14
ENSG00000260657,6
ENSG00000260810,5
ENSG00000260874,5
ENSG00000260880,5
ENSG00000260894,5
ENSG00000260927,5
ENSG00000260941,12
ENSG00000261003,7
ENSG00000261025,16
ENSG00000261080,6
ENSG00000261170,13
ENSG00000261215,5
ENSG00000261243,6
ENSG00000261253,5
ENSG00000261314,11
ENSG00000261329,11
ENSG00000261360,9
ENSG00000261382,6
ENSG00000261384,6
ENSG00000261396,5
ENSG00000261441,5
ENSG00000261478,8
ENSG00000261487,9
ENSG00000261560,5
ENSG00000261583,6
ENSG00000261584,12
ENSG00000261600,6
ENSG00000261659,5
ENSG00000261662,10
ENSG00000261693,7
ENSG00000261773,12
ENSG00000261804,12
ENSG00000261996,6
ENSG00000262001,5
ENSG00000262003,7
ENSG00000262231,7
ENSG00000262251,6
ENSG00000262412,6
ENSG00000262445,13
ENSG00000262454,8
ENSG00000262686,5
ENSG00000262714,12
ENSG00000262903,5
ENSG00000263011,6
ENSG00000263033,5
ENSG00000263171,7
ENSG00000263176,8
ENSG00000263272,5
ENSG00000263489,6
ENSG00000263547,10
ENSG00000263624,10
ENSG00000263644,5
ENSG00000263680,8
ENSG00000263683,7
ENSG00000263718,9
ENSG00000263727,11
ENSG00000263884,6
ENSG00000264026,5
ENSG00000264270,6
ENSG00000264647,6
ENSG00000264739,5
ENSG00000264829,6
ENSG00000264895,5
ENSG00000264954,5
ENSG00000264982,6
ENSG00000265069,6
ENSG00000265073,11
ENSG00000265100,10
ENSG00000265139,5
ENSG00000265282,5
ENSG00000265408,6
ENSG00000265415,5
ENSG00000265474,11
ENSG00000265692,5
ENSG00000265799,6
ENSG00000265801,5
ENSG00000265840,11
ENSG00000266036,6
ENSG00000266088,5
ENSG00000266100,17
ENSG00000266313,11
ENSG00000266456,11
ENSG00000266473,7
ENSG00000266527,6
ENSG00000266598,7
ENSG00000266680,16
ENSG00000266801,9
ENSG00000266824,6
ENSG00000266844,8
ENSG00000266904,11
ENSG00000266929,5
ENSG00000266933,5
ENSG00000266961,5
ENSG00000266970,6
ENSG00000266975,5
ENSG00000266978,11
ENSG00000266994,5
ENSG00000267000,5
ENSG00000267007,5
ENSG00000267042,5
ENSG00000267044,9
ENSG00000267080,10
ENSG00000267106,11
ENSG00000267128,7
ENSG00000267131,5
ENSG00000267159,12
ENSG00000267201,5
ENSG00000267226,5
ENSG00000267244,5
ENSG00000267251,5
ENSG00000267272,6
ENSG00000267280,11
ENSG00000267375,6
ENSG00000267390,10
ENSG00000267394,10
ENSG00000267458,9
ENSG00000267509,6
ENSG00000267519,6
ENSG00000267543,12
ENSG00000267546,12
ENSG00000267551,10
ENSG00000267607,11
ENSG00000267627,6
ENSG00000267633,5
ENSG00000267637,9
ENSG00000267644,6
ENSG00000267646,10
ENSG00000267654,5
ENSG00000267747,7
ENSG00000267751,5
ENSG00000267755,5
ENSG00000267757,12
ENSG00000267774,7
ENSG00000267782,8
ENSG00000267898,16
ENSG00000268050,5
ENSG00000268108,8
ENSG00000268287,8
ENSG00000268355,16
ENSG00000268388,6
ENSG00000268460,8
ENSG00000268615,6
ENSG00000268621,8
ENSG00000268670,5
ENSG00000268707,5
ENSG00000268812,14
ENSG00000268926,12
ENSG00000269091,12
ENSG00000269387,8
ENSG00000269600,6
ENSG00000269652,12
ENSG00000269680,6
ENSG00000269729,5
ENSG00000269736,11
ENSG00000269892,6
ENSG00000269893,6
ENSG00000269902,6
ENSG00000269919,16
ENSG00000269926,9
ENSG00000269931,5
ENSG00000269976,10
ENSG00000269980,5
ENSG00000269989,7
ENSG00000270008,5
ENSG00000270021,6
ENSG00000270069,6
ENSG00000270116,6
ENSG00000270117,5
ENSG00000270132,5
ENSG00000270164,16
ENSG00000270165,5
ENSG00000270175,6
ENSG00000270605,8
ENSG00000270720,6
ENSG00000270726,5
ENSG00000270761,5
ENSG00000270792,11
ENSG00000271040,8
ENSG00000271228,6
ENSG00000271392,5
ENSG00000271398,8
ENSG00000271420,9
ENSG00000271653,8
ENSG00000271714,7
ENSG00000271725,5
ENSG00000271732,6
ENSG00000271742,6
ENSG00000271751,5
ENSG00000271788,9
ENSG00000271856,6
ENSG00000271880,6
ENSG00000271895,8
ENSG00000271926,14
ENSG00000271936,6
ENSG00000271937,8
ENSG00000271969,6
ENSG00000271996,12
ENSG00000272021,5
ENSG00000272056,7
ENSG00000272081,14
ENSG00000272115,6
ENSG00000272141,5
ENSG00000272155,6
ENSG00000272157,6
ENSG00000272158,13
ENSG00000272172,5
ENSG00000272180,8
ENSG00000272217,10
ENSG00000272221,8
ENSG00000272248,5
ENSG00000272273,8
ENSG00000272334,7
ENSG00000272371,6
ENSG00000272386,12
ENSG00000272426,7
ENSG00000272457,5
ENSG00000272468,6
ENSG00000272472,5
